2025.11.07 19:07:56 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/org/scala-sbt/librarymanagement-core_2.12/1.10.4/librarymanagement-core_2.12-1.10.4.pom
2025.11.07 19:07:56 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/org/scalameta/trees_2.12/4.13.4/trees_2.12-4.13.4.pom
2025.11.07 19:07:56 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/org/scalameta/trees_2.12/4.13.4/trees_2.12-4.13.4.pom.sha1
2025.11.07 19:07:56 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/org/scala-sbt/librarymanagement-core_2.12/1.10.4/librarymanagement-core_2.12-1.10.4.pom
2025.11.07 19:07:56 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/org/scala-sbt/librarymanagement-core_2.12/1.10.4/librarymanagement-core_2.12-1.10.4.pom.sha1
2025.11.07 19:07:56 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/com/google/code/gson/gson/2.13.0/gson-2.13.0.pom
2025.11.07 19:07:56 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/com/google/code/gson/gson/2.13.0/gson-2.13.0.pom.sha1
2025.11.07 19:07:56 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/org/scalameta/trees_2.12/4.13.4/trees_2.12-4.13.4.pom.sha1
2025.11.07 19:07:56 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/org/scala-sbt/librarymanagement-core_2.12/1.10.4/librarymanagement-core_2.12-1.10.4.pom.sha1
2025.11.07 19:07:56 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/com/google/code/gson/gson/2.13.0/gson-2.13.0.pom.sha1
2025.11.07 19:07:56 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/com/google/code/gson/gson/2.13.0/gson-2.13.0.pom
2025.11.07 19:07:56 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/org/scalameta/trees_2.12/4.13.4/trees_2.12-4.13.4.pom
2025.11.07 19:07:56 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/org/scala-sbt/librarymanagement-core_2.12/1.10.4/librarymanagement-core_2.12-1.10.4.pom
2025.11.07 19:07:58 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/org/scala-sbt/librarymanagement-core_2.12/1.10.4/librarymanagement-core_2.12-1.10.4.pom
2025.11.07 19:07:58 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/org/scala-sbt/librarymanagement-core_2.12/1.10.4/librarymanagement-core_2.12-1.10.4.pom.sha1
2025.11.07 19:07:58 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/com/google/code/gson/gson/2.13.0/gson-2.13.0.pom
2025.11.07 19:07:58 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/org/scalameta/trees_2.12/4.13.4/trees_2.12-4.13.4.pom
2025.11.07 19:07:58 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/com/google/code/gson/gson/2.13.0/gson-2.13.0.pom.sha1
2025.11.07 19:07:58 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/org/scalameta/trees_2.12/4.13.4/trees_2.12-4.13.4.pom.sha1
2025.11.07 19:07:58 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/org/scala-sbt/librarymanagement-core_2.12/1.10.4/librarymanagement-core_2.12-1.10.4.pom.sha1
2025.11.07 19:07:58 INFO  BSP server: Downloading https://repo1.maven.org/maven2/org/scala-sbt/librarymanagement-core_2.12/1.10.4/librarymanagement-core_2.12-1.10.4.pom
2025.11.07 19:07:58 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/org/scalameta/trees_2.12/4.13.4/trees_2.12-4.13.4.pom.sha1
2025.11.07 19:07:58 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/com/google/code/gson/gson/2.13.0/gson-2.13.0.pom.sha1
2025.11.07 19:07:59 INFO  BSP server: Downloading https://repo1.maven.org/maven2/com/google/code/gson/gson/2.13.0/gson-2.13.0.pom
2025.11.07 19:07:59 INFO  BSP server: Downloading https://repo1.maven.org/maven2/org/scalameta/trees_2.12/4.13.4/trees_2.12-4.13.4.pom
2025.11.07 19:07:59 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/org/scala-sbt/librarymanagement-core_2.12/1.10.4/librarymanagement-core_2.12-1.10.4.pom
2025.11.07 19:07:59 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/org/scalameta/trees_2.12/4.13.4/trees_2.12-4.13.4.pom
2025.11.07 19:07:59 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/com/google/code/gson/gson/2.13.0/gson-2.13.0.pom
2025.11.07 19:07:59 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/com/google/code/gson/gson-parent/2.13.0/gson-parent-2.13.0.pom
2025.11.07 19:07:59 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/com/google/code/gson/gson-parent/2.13.0/gson-parent-2.13.0.pom
2025.11.07 19:07:59 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/com/google/code/gson/gson-parent/2.13.0/gson-parent-2.13.0.pom.sha1
2025.11.07 19:07:59 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/com/google/code/gson/gson-parent/2.13.0/gson-parent-2.13.0.pom.sha1
2025.11.07 19:07:59 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/com/google/code/gson/gson-parent/2.13.0/gson-parent-2.13.0.pom
2025.11.07 19:08:01 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/com/google/code/gson/gson-parent/2.13.0/gson-parent-2.13.0.pom
2025.11.07 19:08:01 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/com/google/code/gson/gson-parent/2.13.0/gson-parent-2.13.0.pom.sha1
2025.11.07 19:08:01 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/com/google/code/gson/gson-parent/2.13.0/gson-parent-2.13.0.pom.sha1
2025.11.07 19:08:01 INFO  BSP server: Downloading https://repo1.maven.org/maven2/com/google/code/gson/gson-parent/2.13.0/gson-parent-2.13.0.pom
2025.11.07 19:08:01 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/com/google/code/gson/gson-parent/2.13.0/gson-parent-2.13.0.pom
2025.11.07 19:08:01 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/org/scalameta/io_2.12/4.13.4/io_2.12-4.13.4.pom
2025.11.07 19:08:01 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/com/eed3si9n/gigahorse-apache-http_2.12/0.7.0/gigahorse-apache-http_2.12-0.7.0.pom
2025.11.07 19:08:01 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/org/scala-sbt/util-logging_2.12/1.10.7/util-logging_2.12-1.10.7.pom
